TIPO;PAIS;REGION;CIUDAD;CATEGORIA;NOMBRE;XML URL;HTML URL
 Medios;Argentina ;Buenos Aires;;Pol°tica;Diario Perfil On Line;http://www.perfil.com/rss/politica.xml;www.perfil.com
 Medios;Argentina ;Buenos Aires;;Sociales;Diario Perfil On Line;http://www.perfil.com/rss/salud.xml;www.perfil.com
 Medios;Argentina ;Buenos Aires;;Sociales;Diario Perfil On Line;http://www.perfil.com/rss/sociedad.xml;www.perfil.com
 Medios;Argentina ;Buenos Aires;;Tecnolog°a & Ciencia;Diario Perfil On Line;http://www.perfil.com/rss/tecnologia.xml;www.perfil.com
 Medios;Argentina ;Buenos Aires;;Sociales;El Cronista;http://www.cronista.com/adjuntos/8/rss/asuntoslegales.xml;www.cronista.com
 Medios;Argentina ;Buenos Aires;;Econom°a;El Cronista;http://www.cronista.com/adjuntos/8/rss/FT_EI.xml;www.cronista.com
 Medios;Argentina ;Buenos Aires;;Econom°a;El Cronista;http://www.cronista.com/adjuntos/8/rss/Finanzas_Mercados_EI.xml;www.cronista.com
 Medios;Argentina ;Buenos Aires;;Econom°a;El Cronista;http://www.cronista.com/adjuntos/8/rss/itbusiness.xml;www.cronista.com
 Medios;Argentina ;Buenos Aires;;Econom°a;El Cronista;http://www.cronista.com/adjuntos/8/rss/management.xml;www.cronista.com
 Medios;Argentina ;Buenos Aires;;Econom°a;El Cronista;http://www.cronista.com/adjuntos/8/rss/negocios_EI.xml;www.cronista.com
 Medios;Argentina ;Buenos Aires;;Nacionales;El Cronista;http://www.cronista.com/adjuntos/8/rss/Pais.xml;www.cronista.com
 Medios;Argentina ;Buenos Aires;;Deportes;El Gr†fico;http://www.elgrafico.com.ar/rss/elgrafico.xml;www.elgrafico.com.ar
 Medios;Argentina ;Buenos Aires;;Econom°a;ElArgentino.com;http://www.elargentino.com/Highlights.aspx?ParentType=Section&ParentId=107&Content-Type=text/xml&ChannelDesc=Econom°a;www.elargentino.com
 Medios;Argentina ;Buenos Aires;;Nacionales;ElArgentino.com;http://www.elargentino.com/Highlights.aspx?ParentType=Section&ParentId=112&Content-Type=text/xml&ChannelDesc=Pa°s;www.elargentino.com
 Medios;Argentina ;Buenos Aires;;Deportes;ElArgentino.com;http://www.elargentino.com/Highlights.aspx?ParentType=Section&ParentId=106&Content-Type=text/xml&ChannelDesc=Deportes;www.elargentino.com
 Medios;Argentina ;Buenos Aires;;Internacionales;ElArgentino.com;http://www.elargentino.com/Highlights.aspx?ParentType=Section&ParentId=113&Content-Type=text/xml&ChannelDesc=Mundo;www.elargentino.com
 Medios;Argentina ;Buenos Aires;;Espect†culos y Cultura;ElArgentino.com;http://www.elargentino.com/Highlights.aspx?ParentType=Section&ParentId=114&Content-Type=text/xml&ChannelDesc=Espect†culos;www.elargentino.com
 Medios;Argentina ;Buenos Aires;;Sociales;ElArgentino.com;http://www.elargentino.com/Highlights.aspx?ParentType=Section&ParentId=109&Content-Type=text/xml&ChannelDesc=Sociedad;www.elargentino.com
 Medios;Argentina ;Buenos Aires;;Tecnolog°a & Ciencia;ElArgentino.com;http://www.elargentino.com/Highlights.aspx?ParentType=Section&ParentId=118&Content-Type=text/xml&ChannelDesc=Tecnolog°a;www.elargentino.com
 Medios;Argentina ;Buenos Aires;Capital Federal;Pol°tica;Gobierno de la Ciudad de Buenos Aires;http://www.buenosaires.gov.ar/areas/rss/noticias/rss.php;www.buenosaires.gov.ar
 Medios;Argentina ;Buenos Aires;;Econom°a;iEco;http://www.ieco.clarin.com/rss/;www.ieco.clarin.com:80
 Medios;Argentina ;Buenos Aires;;Deportes;Infobae;http://www.infobae.com/adjuntos/html/RSS/deportes.xml;www.infobae.com
 Medios;Argentina ;Buenos Aires;;Econom°a;Infobae;http://www.infobae.com/adjuntos/html/RSS/economia.xml;www.infobae.com
 Medios;Argentina ;Buenos Aires;;Espect†culos y Cultura;Infobae;http://www.infobae.com/adjuntos/html/RSS/espectaculos.xml;www.infobae.com
 Medios;Argentina ;Buenos Aires;;Deportes;Infobae;http://www.infobae.com/adjuntos/html/RSS/futbol.xml;www.infobae.com
 Medios;Argentina ;Buenos Aires;;Internacionales;Infobae;http://www.infobae.com/adjuntos/html/RSS/mundo.xml;www.infobae.com
 Medios;Argentina ;Buenos Aires;;Nacionales;Infobae;http://www.infobae.com/adjuntos/html/RSS/argentina.xml;www.infobae.com
 Medios;Argentina ;Buenos Aires;;Pol°tica;Infobae;http://www.infobae.com/adjuntos/html/RSS/politica.xml;www.infobae.com
 Medios;Argentina ;Buenos Aires;;Sociales;Infobae;http://www.infobae.com/adjuntos/html/RSS/salud.xml;www.infobae.com
 Medios;Argentina ;Buenos Aires;;Tecnolog°a & Ciencia;Infobae;http://www.infobae.com/adjuntos/html/RSS/tecnologia.xml;www.infobae.com
 Medios;Argentina ;Buenos Aires;;Deportes;Infobae;http://www.infobae.com/adjuntos/html/RSS/tenis.xml;www.infobae.com
 Medios;Argentina ;Buenos Aires;;Espect†culos y Cultura;InfoBAN;http://www.infoban.com.ar/xml.asp?id_Seccion=7;www.infoban.com.ar
 Medios;Argentina ;Buenos Aires;;Deportes;InfoBAN;http://www.infoban.com.ar/xml.asp?id_Seccion=45;www.infoban.com.ar
 Medios;Argentina ;Buenos Aires;;Econom°a;InfoBAN;http://www.infoban.com.ar/xml.asp?id_Seccion=6;www.infoban.com.ar
 Medios;Argentina ;Buenos Aires;;Pol°tica;InfoBAN;http://www.infoban.com.ar/xml.asp?id_Seccion=8;www.infoban.com.ar
 Medios;Argentina ;Buenos Aires;;Sociales;InfoBAN;http://www.infoban.com.ar/xml.asp?id_Seccion=10;www.infoban.com.ar
 Medios;Argentina ;Buenos Aires;;Sociales;InfoBAN;http://www.infoban.com.ar/xml.asp?id_Seccion=5;www.infoban.com.ar
 Medios;Argentina ;Buenos Aires;;Tecnolog°a & Ciencia;InfoBAN;http://www.infoban.com.ar/xml.asp?id_Seccion=43;www.infoban.com.ar
